S.No,Statename,TimeStamp,NEWS SECTION,PLACE,NEWS HEADER,NEWS CONTENT
986,Maharashtra,"April 18, 2020 21:48 IST",Other States,Mumbai,Coronavirus | Maharashtra allows printing but bans distribution of newspapers,"A day after exempting a number of economic activities and goods transport services after April 20, the Maharashtra government on Saturday prohibited door-to-door delivery of newspapers and magazines while allowing them to continue printing.A notification signed by Chief Secretary Ajoy Mehta issued on Saturday said, “Print Media is hereby exempted from lockdown from 20 April 2020. However given the extent of the spread of COVID-19, door-to-door delivery of newspapers and magazines is prohibited.”Also read | Coronavirus India lockdown Day 25 updatesThe government’s move has attracted the ire of the newspapers and journalist unions and media houses, already struggling under the direct impact of the lockdown. In Maharashtra, the newspaper vendors had already said they would not be able to deliver newspapers. Many cities including the majority parts of Mumbai do not get the hard copies.Leader of the Opposition Devendra Fadnavis wrote to Chief Minister Uddhav Thackeray calling for withdrawal of the decision. “In the era of fake news, newspapers are important and even the World Health Organisation has confirmed that they are safe for distribution,” he said. Mr. Fadnavis said allowing printing of newspapers while prohibiting its distribution holds no meaning.Mr. Thackeray however said it was ‘unnecessary confusion’. “While we support its operations and the need to reach out to the people, we want to also ensure the highest safety from a virus that the world is still grappling with. The sale of print media newspapers, magazines and productions is allowed at stalls/ shops already established, as deemed fit by the media houses. We urge the media to refrain from home deliveries,” he said, in a statement issued on Twitter.Mr. Thackeray said that, the government wholeheartedly supports the media and looks to it for suggestions and objections. “However in times of such a pandemic, where we genuinely are in need to reduce footfalls and increase safety, most economic operations are facing tough times. “Media has withstood the test of time, truth can never be stifled. We request it’s cooperation for the same,” the Chief Minister added.Various journalist bodies and unions too registered their opposition. “The order is uncalled for especially when reports say newspapers don’t cause infection. We appeal to the State government to re-think its decision and not bleed the media industry to death,” said a statement from the Mumbai Press club.Marathi Patrakar Parishad president S.M. Deshmukh warned of a Statewide protest saying it seems the government wants to close-down the print media altogether. Maharashtra Sampadak Parishad too issued a statement appealing to Mr. Thackeray to withdraw the decision.The government also issued clear directions ahead of the coming month of Ramadan which begins next week. It appealed to the Muslim community to conduct namaz within their houses and not to come out on grounds, terraces or elsewhere till the relaxation of the lockdown."
987,Maharashtra,"April 19, 2020 02:01 IST",Mumbai,Mumbai,"Vegetable seller, children held for assaulting officials, police","The Mankhurd police have arrested three people after they allegedly got into a scuffle with civic and police officials who tried to stop them from selling vegetables in a containment zone at 11.30 a.m. on Friday. A video of the incident that went viral shows the vegetable vendor and her daughter preventing officials from loading their cart onto a truck. The duo is then seen assaulting police personnel, who retaliate, even as the crowd tries to intervene. Senior police inspector Prakash Chougule said, “The vendor, her daughter and son were arrested and charged with assault or criminal force to deter public servants from discharging their duties, unlawful assembly and disobeying an order promulgated by a public servant under the Indian Penal Code.” Twitterati were quick to criticise the incident, saying that the police only came down heavily on the poor who were trying to make a living, while giving a free rein to the affluent. There were, however, others who were quick to defend the police, pointing out that it was the accused who started the scuffle."
988,Maharashtra,"April 19, 2020 01:00 IST",Mumbai,Mumbai,20-year-old held for using fake MLA sticker to evade lockdown,"A 20-year-old Andheri resident who had fixed a fake MLA sticker on the windshield of his car to gain smooth passage at police checkpoints amid the lockdown has been arrested.Alert police personnel stopped Sabet Aslam Shah’s vehicle and were neither impressed nor amused with the youth’s idea to circumvent the lockdown rules. According to the Andheri police, Sabet Aslam Shah’s car was intercepted near Sai Prasad Hotel on Western Express Highway during a routine nakabandi at 5.55 p.m. on Thursday. Officers said the sticker aroused suspicion as Mr. Shah was too young to be driving an official vehicle. When he was questioned, he gave excuses and said he had fixed the sticker “by mistake”.Senior police inspector Vijay Belge said, “He said he was trying to get it removed, but couldn’t find a professional to do it owing to the lockdown. He was even willing to take the sticker off in front of the personnel. After sustained questioning, he confessed that he had intentionally fixed the sticker to evade the lockdown.”The police then arrested Mr. Shah and charged him for improper use of an official sticker, forgery, impersonating a public servant and committing a negligent act likely to spread an infectious disease under relevant sections of the Indian Penal Code, the Disaster Management Act, the Epidemic Diseases Act, and the State Emblem of India Act.Released on bailMr. Shah is a second-year commerce student and lives with his family in MIDC area in Andheri (East). He was later released on bail."
989,Maharashtra,"April 19, 2020 18:32 IST",Other States,Mumbai,"Coronavirus lockdown: Over 55k cases, 11k arrests in Maharashtra for violations","Over 56,000 offences have been registered and more than 11,000 people arrested in Maharashtra since March 22 for violation of lockdown norms in place for the coronavirus outbreak, a state home department official said on Sunday. While 55,393 cases have been lodged for disobedience under section 188 of the IPC, another 1,051 are for illegal transport during the lockdown, an official said.Also read: Maharashtra announces financial assistance package for 12 lakh construction workers“We have arrested 11,645 people, seized 36,935 vehicles and collected fines worth Rs 2,06,73,644 since March 22. We have arrested 301 people for 105 incidents involving assault on policemen on duty,” he informed. A total of 567 people were found flouting quarantine orders, he added. He said, so far, 40 police personnel, including eight officers, have tested positive for the coronavirus.“Of the total cases registered, Pune city leads with 8,100, followed by 5,383 in Ahmednagar,” the official said."
990,Maharashtra,"April 20, 2020 03:26 IST",Mumbai,Navi Mumbai,PMC launches ‘farmer at your doorstep’,"The Panvel Municipal Corporation (PMC) has started Shetkari aaplya daari (Farmer at your doorstep), a scheme to facilitate residents to buy vegetables and fruits and to help farmers during the lockdown.“Farmers’ produce getting spoilt as some APMC markets have shut and others are working with restrictions. If this had continued, many would have been on the verge of ending their lives. Hence, we planned a strategy to let farmers sell their supplies directly to the residents,” Jamir Lengarekar, deputy commissioner, PMC, said. His team coordinates with housing societies that wish to order produce.The scheme, started by PMC Commissioner Ganesh Deshmukh, is helping farmers from Pune, Sangli, Satara and Nashik provide residents of Panvel, Kalamboli, Kharghar and Kamothe fresh farm supplies.Ravindra Shelke, a farmer from Sinnar in Nashik, said, “I had lost vegetables worth ₹3.5 lakh during the lockdown. I was distraught until I received a message on a WhatsApp group one day regarding the PMC scheme. Since then I have been regularly visiting societies to sell my supplies. I am earning at least 20% profit. Earlier, the middlemen would not let me sell my supplies at the rate I wanted.” The PMC has launched an app called Panvel NULM CLC for societies to register their requirements. Those interested can also get in touch with Mr. Lengarekar on 9404242823."
991,Maharashtra,"April 20, 2020 02:56 IST",Other States,Pune,All areas in Pune and Pimpri-Chinchwad to be sealed till April 27,"In view of the increasing COVID-19 positive cases in Pune and Pimpri-Chinchwad, the municipal commissioners of the Pune and the Pimpri-Chinchwad Municipal Corporation on Sunday ordered to seal all areas within their limits for the next seven days.In their directives issued under the Epidemic Diseases Act, 1897, and the Disaster Management Act, 2005, PMC Commissioner Shekhar Gaikwad and PCMC Commissioner Sharavan Hardikar declared the civic bodies as ‘containment zones’.Mr. Gaikwad said as 13 of the 15 wards under the PMC had COVID-19 positive cases, the entire area under the civic body would be sealed from Sunday midnight till April 27.“As positive cases are rising daily, there is a potential threat to the life of the city’s residents and hence, there is a pressing need to limit the movement of people. From now, only the police and the vehicles engaged in dispensing essential services will be allowed on the streets. Besides civic body staff, government offices will be operating with only 10% of their strength,” the order said.Shops selling essential goods will be open only between 10 a.m. and 2 p.m. in both areas.Pune district’s tally has soared to more than 630 cases, with 50 deaths being reported — 49 of these from Pune and one from Pimpri-Chinchwad.Mr. Hardikar justified the need for more stringent lockdown measures on grounds to prevent spread of the contagion from the Pune city areas, where the maximum cases have been reported thus far.“Given the rise in the number of positive cases, there is a possibility of community transmission of the novel coronavirus. We need to completely stop the movement of people. Furthermore, there will be no relaxation from April 20 for resuming businesses, including the IT sector,” Mr. Hardikar said.Authorities from the Pune’s Agriculture Produce Market Committee (APMC) at Gultekdi — the main wholesale market of the city — have already announced that the APMC will remain shut for a further eight days owing to the surging cases."
992,Maharashtra,"April 20, 2020 12:41 IST",Food,India,"COVID-19: First time in 250 years, Mumbai’s iconic Ramzan food market to be off menu","For the first time in its nearly 250-year-old history, Mumbai’s world-renowned and iconic Mohammed Ali Road Street Food Bazaar is poised to wear a deserted look this Ramzan month, starting April 23.Incidentally, the market was open even after the March 12, 1993 serial bomb blasts, but it’s fate in Ramzan 2020 will be known only after May 3.Missing would be the enticing, mouth-watering aroma of over 400 non-vegetarian dishes on offer, plus around 100 assorted desserts and beverages, making it the month-long mecca for food lovers — irrespective of religion — thronging there.“This is a sad truth. We are planning to request Mumbai Police Commissioner to at least grant us permission for two hours during the evening ‘iftaar’. The morning ‘sehri’ people will somehow manage,” a worried Abdul Rehman Khan told IANS.Khan is owner of the decades-old landmark restaurant, Mashaallah Cuisine, nestling under the shadow of the 250-year-old historic Minara Masjid (Tower Mosque), from where it all started.For 70-year-old Shabbir Ajmanwalla, from the adjacent Bohri Mohalla, the spectre of ‘sehri’ and ‘iftaar’ without the goodies from the roadside eateries is akin to blasphemy.“My father, in the 1920s, used to tell us many stories of the food market. Later, in the 1960s, as young boys, my friends and I would hop onto a tram for purchases to break our daylong fast,” he reminisced.In those days, trams plied in south Mumbai from Colaba to Dadar Tram Terminus (Dadar TT, as it is known even today after trams stopped in 1964), traversing through congested Pydhonie, Nagdevi Street, and Mohammed Ali Road.A rich legacyThe street food market’s history is directly entwined with that of the imposing Minara Masjid, said local Urdu scribe, Aejaz Ahmed Ansari, quoting legends handed down by forefathers.“The 24x7 Ramzan market started as tiny food stalls around this mosque and kept expanding over the centuries. But in the past six to seven decades, it acquired a cult status for the sheer variety of food, their unique preparation styles and memorable taste, attracting people from around the world,” Ansari told IANS.According to 62-year-old Karim Patel, a local businessman with a shop near the Minara Masjid, Muslims comprise barely 25 percent of the patrons, the rest comprise around 60 percent non-Muslims and foreigners or tourists.“Certain varieties of food and desserts are specially prepared or available only during Ramzan, so people make it a point to come and savour these. A few are handed down by families from generations and are truly unique,” Patel said with a smile.“The main market is spread around a kilometre on each side of the Minara Masjid, the rest is a spillover that comes up during Ramzan owing to the huge demand. The main market has around 100 plus food stalls, the spillover comprises another 400 odd sellers. It’s a celebration of national integration through food, in Ramzan,” said Khan.Teeming in a tiny corner in the congested Muslim-dominated residential-cum-commercial district, this year many non-Muslims may experience withdrawal symptoms of Mohammed Ali Road food market.From far and wideKhan said on an average, the food market — with 90 percent non-vegetarian offerings — attracts around 40,000 people daily, and during weekends, the number shoots up to 100,000, and the month averages around 1.50 million hungry customers.“On an average, a person spends between ₹ 500 to 800 for a hearty meal, so calculate the massive businesses generated here. There are thousands of families who work only in Ramzan month and survive the remaining 11 months. That’s the kind of ‘barkat’ (benevolence) here, thanks to Minara Masjid,” he said.Patel said each stall employs roughly 10 persons and for Ramzan, specialists are called from around the country to help cope with the bulk cooking requirements.“Though the theme is Mughlai cuisine, we get specialized ‘Khansamas’ (traditional master chefs) of biryanis from Lucknow, niharis from Delhi, tawa food experts from Bahraich (UP), and the like,” said Khan.The markets are thronged by commoners and celebs, diplomats, domestic and foreign tourists, and hungry hoppers who drive down from places in 200 to 300 km range like Surat, Bharuch, Nashik, Pune, Satara, Goa, for a ‘culinary wild night out’ and drive back home the next morning, said Nagori.However, most local restaurateurs confide they don’t encourage celebs as “they disturb the whole market with their brief appearance”, although many bigwigs quietly wait in their dark-tinted glass vehicles, collect their packed food without any fanfare and quietly retreat to enjoy their food elsewhere.Among the notable Ramzan regulars are Salman Khan, Katrina Kaif, Sanjay Dutt, Ayesha Takiya-Azmi, Remo D’Souza, Nawaz Siddiqui, and in the past there were Dilip Kumar, Dev Anand, Rajendra Kumar, Raj Kapoor, et al.This market’s reputation has spawned many similar ‘Ramzan markets’ in Mumbai at Mahim, Kurla, Bandra, Andheri, Jogeshwari, Mira Road, Vasai, Pune, Malegaon, Nashik, Sangli, Surat, Delhi, Hyderabad, etc, but die-hard connoisseurs swear that the ‘Mohammed Ali Road food bazaar’ beats them all."
993,Maharashtra,"April 22, 2020 02:03 IST",Mumbai,Mumbai,Two booked for smuggling migrant workers to U.P.,"The Shanti Nagar police in Bhiwandi on Tuesday intercepted a truck that was allegedly ferrying daily wage labourers to their native place in Uttar Pradesh in violation of the lockdown imposed in light of COVID-19.According to the police, the truck was intercepted at KB Chowk near the Bhadwad vegetable market around 4.45 a.m., after the police got a tip-off that an attempt to smuggle the labourers would be made in the early hours of the day.“The truck had around 60 people in the back, who were being taken to U.P. for anything between ₹1,000 to ₹4,000, depending on how much they could pay,” Deputy Commissioner of Police Rajkumar Shinde (Zone II), Thane Police, said.The police took all the labourers, and the truck driver, to the police station for further inquiries. After preliminary inquiries with the labourers, the police booked the driver, Rajan Yadav, and Obaidur Rehman Chaudhari, the truck owner’s brother, in connection with the matter. They were arrested and later released on bail. The duo have been charged with disobeying an order promulgated by a public servant and for negligent conduct with respect to an infectious disease under the Indian Penal Code, along with sections of the Disaster Management Act.Meanwhile, the labourers are being counselled and rehabilitated with the help of the Bhiwandi Nizampura Municipal Corporation and some NGOs.Known as the handloom town of the State, Bhiwandi attracts daily wage labourers by the hundreds as there are endless employment opportunities in the handloom mills and units in the town. The lockdown, and particularly its extension, has hit areas like Bhiwandi the worst, where large chunks of the population hail from outer States and depend on their daily wage for subsistence."
994,Maharashtra,"April 22, 2020 02:00 IST",Mumbai,Mumbai,"State rolls back lockdown relaxations in MMR, PMR","Chief Minister Uddhav Thackeray on Tuesday cancelled the relaxation in lockdown rules in Mumbai Metropolitan Region (MMR) and Pune Metropolitan Region (PMR) awarded by the government after April 20, as a large number of people started commuting. Even in case of e-commerce companies, the government has revised earlier guidelines. The companies can now ply with necessary permission for delivery of essential commodities, food, pharmaceuticals and medical equipment only. No sweet shops or confectioneries will be allowed to run in Mumbai and Pune. Revised guidelines, signed by Chief Secretary Ajoy Mehta, said the relaxations will remain operative in other parts of the State, except MMR and PMR.The State government also reversed the decision to prohibit door-to-door delivery of newspapers in all parts of the State, except for MMR, PMR and containment zones announced by the respective district administrations. Objections to decision The decision to stop home delivery of newspapers had faced objections from various quarters, especially print journalists. Mr. Thackeray had said he would rethink after April 20. As per the revised guidelines, door-to-door delivery is allowed in all areas, except MMR, PMR and containment zones. In these areas, newspapers can be sold through shops, which are exempted under the lockdown relaxations.The government has clarified that “wherever door-to-door delivery is done, it shall be with the knowledge of receiver and the delivery personnel shall wear mask, use hand sanitiser and maintain social distancing.” On Monday, the Aurangabad Bench of the Bombay High Court had questioned the “logic” of the decision to ban door-to-door distribution, while allowing people to step out and buy them from street stalls. (With PTI inputs)"
995,Maharashtra,"April 22, 2020 01:52 IST",Mumbai,Mumbai,Medicine travels from Nagpur to Ludhiana on special request,"To ensure timely delivery of essential medicines, the Central Railway (CR) coordinated with other zones so that a parcel from Nagpur could reach Ludhiana, despite there being no direct train between the two cities. The CR received a request from one Sukhdev Mandar, who needed a certain type of medicine to be procured from Nagpur. Mr. Mandar, who returned from Canada around four years ago, said he was taking a particular tablet, which was a cocktail of four drugs, prescribed to him by doctors in Canada, for an immunity-related ailment. “While I could not get the same drug here, I was taking two pills, each having two of the drugs in the original combination, as substitutes and procured them directly from a pharma company based in Delhi,” he said.The person he would interact with in Delhi left for Nagpur just before the lockdown was imposed and took Mr. Mandar’s medicines along in the hope of transporting them from Nagpur. “I was told that there were no direct trains from Nagpur to Ludhiana, so I created a Twitter account and put a message with my problem as I was fast running out of the medicines,” he said.A day after he put the query, the chief parcel supervisor (CPS) from Nagpur, Shekhar Balekar, called him to understand the requirement. “Initially they told me that they could only send the medicines up to New Delhi. But a day later, Mr. Balekar said they had booked my parcel till Ludhiana,” Mr. Mandar said. The medicines were booked on a train to Itarsi, where they were unloaded and the put on another train travelling from Hyderabad and to Amritsar, a day later. “While boarding my medicine, they took videos and photos of the box and gave me the box number, since the package was small. They were also in constant touch with the CPS in Itarsi and Ludhiana and had given their numbers to me as well,” Mr. Mandar said.Krishnath Patil, senior divisional commercial manager, Nagpur Division, CR, said they did not do transshipment under normal circumstances, but decided to coordinate since these were extraordinary circumstances. The medicines reached Mr. Mandar on Sunday. He said that he had only one dose remaining, for Monday, and didn’t know what he would have done if the medicines had not come on time. “Under the current circumstances, these medicines were crucial. I have only the Railways to thank for ensuring it reached me,” he said."
996,Maharashtra,"April 22, 2020 01:47 IST",Mumbai,Mumbai,KEM gets 30-bed ICU for coronavirus patients,"KEM Hospital now has a 30-bed ICU facility dedicated to COVID-19 positive patients.In order to address the issue of patients of the virus dying in transit, the hospital has started a new facility where critical and suspected patients will be kept in a ward equipped with staff and ventilators.Depending on their test results, they will be moved to a 30-bed dedicated facility meant for critical patients, or another such facility meant for patients who test negative but display severe acute respiratory illness (SARI) symptoms, are critical and require isolation.The Brihanmumbai Municipal Corporation has divided facilities into COVID Care Centres (for asymptomatic cases), Dedicated COVID Health Centres for moderate COVID-19 cases and Dedicated COVID Hospitals (DCH) for severe cases.KEM Hospital is under the DCH category. Initially, it could not cater to critical patients as it did not have ICU beds purely for them, and would transfer them to Seven Hills or Kasturba. The 30-bed critical care ward has resolved that.The hospital management felt the need for separate critical care facilities for patients after the triage stage (the assignment of degrees of urgency) so that patients could be isolated in three different areas. Two wards next to the Casualty on the ground floor were vacated and revamped with the help of Tata Projects.When a serious patient comes in with breathlessness, fever, cough, he is called a COVID-19 suspect. Since his test reports would take a minimum of 12 hours, in that period, the patient will be isolated in ward 20A, which has a capacity of 15 beds.Based on the patient’s report, even if negative, the patient has to be segregated in ward 4A with a capacity of 30 beds since he or she has severe SARI. If positive, the patient will be kept in ward 4, which also has 30 beds. All three wards together have around 25 ventilators. They will have different teams that will not intermingle or interchange shifts. Teams in all three wards will get personal protective equipment.Explaining the project, Dr. Hemant Deshmukh, dean of KEM Hospital said, “The idea was that we will be able to manage any patient who comes in on ventilator or oxygen support. If a patient is serious and turns out to be positive, we cannot transfer him out. He will be kept in ward No. 4.”Of the 225 SARI patients the hospital has seen, about one-third have tested COVID-19-positive, while the rest have to be tested and kept under observation, he said. “That is why this isolation facility for those with SARI symptoms.”Ward 4, equipped with advanced equipment, was commissioned on April 20 while ward 4A was commissioned earlier.“It is a crucial addition to Mumbai. We will also ward off entry to these wards, and there will be no thoroughfare. Patients will be discharged from here only when they test negative twice,” said Dr. Deshmukh."
997,Maharashtra,"April 22, 2020 01:38 IST",Mumbai,Navi Mumbai,APMC fruit market starts operations,"The fruit market at the APMC in Navi Mumbai resumed operations again on Monday, with restrictions on working hours and entry of vehicles.Only 250 vehicles will be allowed to enter between 9 p.m. and 5 a.m. to unload produce. Trading will be done from 7 a.m. to 3 p.m. The market will be cleaned and closed by 5 p.m. “We are also using a State Transport depot nearby, where 50 trucks are allowed to enter. This space is exclusively for watermelon and musk melon supplies. Social distancing is maintained at both places,” Sanjay Pansare, secretary of the fruit market, said.Meanwhile, the supply of Alphonso mangoes has gone down from 65,000 boxes at this time last year to 35,000, he said. Export of mangoes has also started, with around 12,000 boxes being exported daily via sea, and some by air. “The export is mainly done to the Gulf. Export to the U.S. and Europe is still closed,” he said."
998,Maharashtra,"April 22, 2020 00:49 IST",Mumbai,Mumbai,State plans to put up oxygen stations near isolation beds,"A dip in oxygen saturation level in COVID-19 patients has been observed as a critical manifestation of the infection as many patients have difficulty breathing. To tackle this, the Maharashtra government plans to set up oxygen stations near every bed at health centres and dedicated hospitals treating COVID-19 patients.The civic-run Nair Hospital in Mumbai, which is being converted into a dedicated COVID-19 facility, has already started work to connect the central oxygen line to all isolation beds.An oxygen station consists of an oxygen mask docked near every bed and connected to a central oxygen supply or a smaller oxygen cylinder.Breathlessness is one of the common symptoms in COVID-19 patients. Any delay in treatment results in deterioration of the patient’s condition, eventually requiring ventilator support. “A lot of focus has been put on ventilators but the global evidence suggests that immediate access to oxygen has played a crucial role in recovery and stopping the patients from deteriorating rapidly,” said Dr. Anup Kumar Yadav, commissioner (health services), Maharashtra. Oxygen stations will be created in all level-two and -three COVID-19 facilities, he said.The State government has created a three-tier system for COVID-19 patients. COVID care centres with just a paramedic and a doctor are at the primary level for asymptomatic patients. Health centres equipped with doctors, oxygen support, an ambulance are considered level two where patients with mild symptoms and not at high risk will be admitted. Dedicated COVID-19 hospitals with specialists, intensive care units and all tertiary care facilities are at level three.Medical experts say hypoxaemia or critically low oxygen level in the blood has been seen in many COVID-19 patients, which eventually leads to damage to critical organs and becomes life-threatening.According to Dr. Jalil Parkar from the department of chest medicine in Lilavati Hospital, the normal arterial blood oxygen levels are 100%. “We start patients on some kind of oxygen therapy if it comes down to 90%,” said Dr. Parkar.Many COVID-19 patients gasp, and some of them already have conditions like asthma, which further compromises their breathing. “In such cases, when we put the patients on nasal oxygen, it helps in controlling their breathing. This is also helpful when there is a high volume of patients in the intensive care unit,” he said.Every major hospital has oxygen stations by the bedside, even outside the ICU. While some have oxygen masks, some have nasal tubes to deliver the oxygen to patients.Dr. Parkar said the government’s decision to set up oxygen stations is a step in the right direction. Maharashtra Health Minister Rajesh Tope on Monday said he has been in touch with medical oxygen suppliers to ensure that there is no hindrance in supply."
999,Maharashtra,"April 23, 2020 01:52 IST",Mumbai,Navi Mumbai,"Panvel priest booked for opening temple, allowing devotees","The Panvel City police booked a priest on Monday for opening the Kerumata temple and allowing devotees to enter the premises to worship the deity. The incident occurred around 11 a.m. on Monday when personnel from Panvel City police station were patrolling Waghivali vaada in Panvel. The personnel entered the temple on noticing it was open and found the priest and residents from Pargaon, Owale, Dungi and Kundewahal villages offering prayers.Senior police inspector Ajay Landge from Panvel City police station said, “When we asked the priest why he had opened the temple in violation of the lockdown rules, he said that he wanted to worship the deity. Since March 17, we have been holding frequent meetings with all religious heads and requesting them to keep places of worship closed. We also have been sending WhatsApp messages appealing to religious leaders to adhere to the lockdown rules. The priest has been booked for violating these regulations.”The Panvel City police said they took suo motu cognisance of the incident and charged the priest under Sections 188, 269, 270, 271, 290, 336 of the Indian Penal Code, and sections of the Maharashtra Police Act, the Epidemic Diseases Act, the Maharashtra COVID-19 Regulations Rules, and the Disaster Management Act."
1000,Maharashtra,"April 23, 2020 01:50 IST",Mumbai,Mumbai,"TikTok video lands two teens, minor boy in trouble","A young trio from Antop Hill thought it would be funny to use a police vehicle parked in their locality to make a TikTok video. The police, however, were not amused. They traced the trio and took action against them within four hours of the video being brought to their notice.According to the Antop Hill police, the three accused include Sahil Sardar (19), Raj Nirmal (18) and a minor. The video, which was brought to the police’s attention on Wednesday, shows Mr. Sardar standing next to a police patrolling vehicle attached to the Antop Hill police station, which was parked in a residential locality in their jurisdiction. Mr. Sardar is seen looking into the driver’s seat and boasting about how he recently beat up a policeman so badly that it took him five days to recover. The video was shared with the police by several social media users, and inquiries were initiated into the matter.An officer with the Antop Hill police said, “With the help of CCTV cameras in the area and inquiries by on-ground personnel, we confirmed that the video was shot when the patrolling vehicle was parked at CGS Colony. We worked on this information and traced the trio, who stay in MHADA Colony near Antop Hill fire brigade.” The trio was brought to the police station and booked for disobeying an order promulgated by a public servant, committing an act likely to spread an infectious disease and defamation under sections of the Indian Penal Code. While Mr. Sardar and Mr. Nirmal were arrested and later released on bail, the juvenile offender was let off with a warning.Senior police inspector Prashant Raje, Antop Hill police station, said, “Such behaviour is unacceptable as it endangers not only their own life but also of others. It was seen in the video that they hadn’t worn masks either. It also maligns the image of the police who are trying to make sure that rules of social distancing and lockdown are strictly followed.”"
1001,Maharashtra,"April 23, 2020 01:46 IST",Mumbai,Mumbai,Religious bias: man held for refusing groceries,"The Kashimira police have arrested a 51-year-old resident of Mira Road for allegedly refusing to accept groceries because they were being delivered by a Muslim delivery boy.According to the Kashimira police, the accused has been identified as Gajanan Chaturvedi, who lives with his family in Jaya Park in Mira Road. An officer said Mr. Chaturvedi on Tuesday ordered groceries from a store in his locality and the grocer agreed to deliver them. The delivery boy was sent within an hour. “When the delivery boy reached the house, Mr. Chaturvedi refused to accept the items as he had ascertained the delivery boy’s religion based on his appearance,” an officer at Kashimira police station said. The delivery boy, Barkat Usman Patel, tried reasoning with Mr. Chaturvedi, but when he refused to budge from his stand, Mr. Patel approached the Kashimira police station.Remanded in custody“We recorded the complainant’s statement and immediately registered an FIR. Mr. Chaturvedi was arrested the same day and produced in court. He has been remanded in judicial custody,” police inspector Sanjay Hajare said.Mr. Chaturvedi has been charged with committing deliberate and malicious acts with the intent to outrage religious sentiments under the Indian Penal Code."
1002,Maharashtra,"April 23, 2020 01:40 IST",Mumbai,Navi Mumbai,IT firm sealed after 19 staffers test positive,"An IT firm, Ctrls, at TTC MIDC area in Mahape, which provides banking services, was sealed on Wednesday after 19 employees tested positive. Eight of them are residents of Navi Mumbai, two each from Mahape and Turbhe, and one each from Pawane, Ghansoli, Nerul and Koparkhairane. The rest are from Mumbai. On April 20, a 22-year-old resident of Sector 20 in Koparkhairane, who works on a contract basis with the Dhirubhai Ambani Reliance Life Science Centre at Rabale, tested positive. His co-worker, a 19-year-old resident of Sector 19 in Koparkhairane, tested positive on Wednesday. A 28-year-old from Sector 7 in Koparkhairane, who worked at Phoenix MarketCity in Kurla, tested positive along with a 27-year-old woman from Sector 21 in Turbhe who worked as a house help. “The places that have reported cases have been declared as containment zones. We received 47 samples on Wednesday, of which 11 tested positive. The tally is now 85. We are working out norms for the banking sector owing to the rise in cases there,” Annasaheb Misal, Navi Mumbai Municipal Commissioner, said.A pregnant woman from Kamothe has tested positive in Panvel Municipal Corporation (PMC). The woman was being treated at Fortis Hospital in Mulund since April 20 and had a history of heart ailments. There are 40 positive cases in PMC, of which 14 have recovered and one has died. A total of 489 people have been tested so far, of which 422 were negative and 27 reports are pending. In the NMMC, 23 have recovered and four deaths have been reported. Till now, 1,377 people have been tested, of which 936 tested negative and 356 reports are pending."
1003,Maharashtra,"April 23, 2020 01:27 IST",Mumbai,Navi Mumbai,3 booked for cheating mask firm of ₹50 lakh,"The Taloja police have booked three people, including the production officer and store manager of a mask manufacturing company at Taloja MIDC, for cheating the firm of over ₹50 lakh. Mahendra Vishnu Ghag, chief production officer, Venus Safety and Health filed a complaint against Akash Dhobale, a production officer at the firm; Prathamesh Phadke, store manager at the the firm’s office in Tondare village; and Pratap Phadtare from Sarika Enterprises in Kalamboli, on April 18.The company manufactures personal safety equipment and sells them via fixed distributors. While Mr. Dhabole supervises the production, Mr. Phadke is in-charge of the stock in the store. The raw material from the manufacturing unit is sent to Sarika Enterprises, where the masks are stitched. The stitched masks comes back to the unit and is sent to distribution channels.According to the complaint, 10 days ago, the director of the unit Mahesh Kudav found some discrepancies in the accounts and total number of masks sold. On examination of CCTV camera footage from April 1 to 13, it was found that Mr. Dhobale and Mr. Phadke took out stock from the store several times and transported it in the unit’s pick-up vehicle. Mr. Kudav then questioned the driver of the vehicle, who revealed that the masks were taken to Mr. Phadtare.When Mr. Dhabole and Mr. Phadke were confronted, they confessed that they had been selling the masks to Mr. Phadtare at a price higher than the original. While Mr. Dhobale had earned ₹13.61 lakh in the deal, Mr Phadke had earned ₹38 lakh. The complainant claimed that the duo later transferred all the money to the unit’s account, asking them not to take any legal action.“A case has been registered but we have not arrested anyone yet. We are probing the allegations. The company had been manufacturing masks in excess due to a rise in demand after the COVID-19 outbreak. The booked people seem to have taken advantage of the situation,” senior police inspector Kashinath Chavan, Taloja police station, said. The trio has been charged with cheating and criminal breach of trust by clerk or servant under the Indian Penal Code."
